RaceId,DriverId,TeamId,Position,StartingGrid,Laps,Time/Retired,Points,Sprint,SetFastestLap,FastestLapTime
1098,830,9,1,1,57,1:33:56.736,25,0,No,1:36.236
1098,815,9,2,2,57,+11.987,18,0,No,1:36.344
1098,4,117,3,5,57,+38.637,15,0,No,1:36.156
1098,832,6,4,4,57,+48.052,12,0,No,1:37.130
1098,1,131,5,7,57,+50.977,10,0,No,1:36.546
1098,840,117,6,8,57,+54.502,8,0,No,1:36.546
1098,847,131,7,6,57,+55.873,6,0,No,1:37.221
1098,822,51,8,12,57,+72.647,4,0,No,1:37.379
1098,842,214,9,20,57,+73.753,2,0,No,1:35.068
1098,848,3,10,15,57,+89.774,1,0,No,1:37.144
1098,852,213,11,14,57,+90.870,0,0,No,1:36.637
1098,858,3,12,16,56,+1 lap,0,0,No,1:36.037
1098,825,210,13,17,56,+1 lap,0,0,No,1:36.471
1098,856,213,14,19,56,+1 lap,0,0,No,1:37.709
1098,807,210,15,10,56,+1 lap,0,0,No,1:36.616
1098,855,51,16,13,56,+1 lap,0,0,Yes,1:33.996
1098,846,1,17,11,55,+2 laps,0,0,No,1:35.822
1098,839,214,NC,9,41,DNF,0,0,No,1:36.797
1098,844,6,NC,3,39,DNF,0,0,No,1:37.170
1098,857,1,NC,18,13,DNF,0,0,No,1:40.691
1099,815,9,1,1,50,1:21:14.894,25,0,No,1:32.188
1099,830,9,2,15,50,+5.335,19,0,Yes,1:31.906
1099,4,117,3,2,50,+20.728,15,0,No,1:32.240
1099,847,131,4,3,50,+25.866,12,0,No,1:32.433
1099,1,131,5,7,50,+31.065,10,0,No,1:32.941
1099,832,6,6,4,50,+35.876,8,0,No,1:32.822
1099,844,6,7,12,50,+43.162,6,0,No,1:33.056
1099,839,214,8,6,50,+52.832,4,0,No,1:33.222
1099,842,214,9,9,50,+54.747,2,0,No,1:33.392
1099,825,210,10,13,50,+64.826,1,0,No,1:33.374
1099,852,213,11,16,50,+67.494,0,0,No,1:33.931
1099,807,210,12,10,50,+70.588,0,0,No,1:33.780
1099,855,51,13,11,50,+76.060,0,0,No,1:33.894
1099,856,213,14,18,50,+77.478,0,0,No,1:33.609
1099,857,1,15,8,50,+85.021,0,0,No,1:34.287
1099,858,3,16,20,50,+86.293,0,0,No,1:34.469
1099,846,1,17,19,50,+86.445,0,0,No,1:34.122
1099,822,51,18,14,49,+1 lap,0,0,No,1:34.384
1099,848,3,NC,17,27,DNF,0,0,No,1:35.567
1099,840,117,NC,5,16,DNF,0,0,No,1:35.140
1100,830,9,1,1,58,2:32:28.371,25,0,No,1:20.342
1100,1,131,2,3,58,+0.179,18,0,No,1:20.613
1100,4,117,3,4,58,+0.769,15,0,No,1:20.476
1100,840,117,4,6,58,+3.082,12,0,No,1:20.934
1100,815,9,5,20,58,+3.320,11,0,Yes,1:20.235
1100,846,1,6,13,58,+3.701,8,0,No,1:21.173
1100,807,210,7,10,58,+4.939,6,0,No,1:21.124
1100,857,1,8,16,58,+5.382,4,0,No,1:21.335
1100,855,51,9,17,58,+5.713,2,0,No,1:21.819
1100,852,213,10,12,58,+6.052,1,0,No,1:21.789
1100,822,51,11,19,58,+6.513,0,0,No,1:22.233
1100,832,6,12,5,58,+6.594,0,0,No,1:20.467
1100,842,214,13,9,56,DNF,0,0,No,1:20.995
1100,839,214,14,11,56,DNF,0,0,No,1:21.203
1100,856,213,15,15,56,DNF,0,0,No,1:21.183
1100,858,3,16,18,56,DNF,0,0,No,1:21.456
1100,825,210,17,14,52,DNF,0,0,No,1:21.685
1100,847,131,NC,2,17,DNF,0,0,No,1:22.680
1100,848,3,NC,8,6,DNF,0,0,No,1:23.349
1100,844,6,NC,7,0,DNF,0,0,No,
1101,815,9,1,3,51,1:32:42.436,25,0,No,1:44.589
1101,830,9,2,2,51,+2.137,18,0,No,1:44.232
1101,844,6,3,1,51,+21.217,15,0,No,1:44.561
1101,4,117,4,6,51,+22.024,12,0,No,1:44.241
1101,832,6,5,4,51,+45.491,10,0,No,1:45.175
1101,1,131,6,5,51,+46.145,8,0,No,1:45.346
1101,840,117,7,9,51,+51.617,6,0,No,1:45.627
1101,847,131,8,11,51,+74.240,5,0,Yes,1:43.370
1101,846,1,9,7,51,+80.376,2,0,No,1:45.738
1101,852,213,10,8,51,+83.862,1,0,No,1:45.727
1101,857,1,11,10,51,+86.501,0,0,No,1:45.631
1101,848,3,12,12,51,+88.623,0,0,No,1:45.925
1101,825,210,13,16,51,+89.729,0,0,No,1:45.850
1101,842,214,14,17,51,+91.332,0,0,No,1:45.540
1101,839,214,15,19,51,+97.794,0,0,No,1:45.908
1101,858,3,16,14,51,+100.943,0,0,No,1:46.501
1101,807,210,17,20,50,+1 lap,0,0,No,1:46.731
1101,822,51,18,13,50,+1 lap,0,0,No,1:46.304
1101,855,51,NC,15,36,DNF,0,0,No,1:47.553
1101,856,213,NC,18,9,DNF,0,0,No,1:48.781
1102,830,9,1,9,57,1:27:38.241,26,0,Yes,1:29.708
1102,815,9,2,1,57,+5.384,18,0,No,1:30.560
1102,4,117,3,2,57,+26.305,15,0,No,1:30.519
1102,847,131,4,6,57,+33.229,12,0,No,1:31.015
1102,832,6,5,3,57,+42.511,10,0,No,1:31.362
1102,1,131,6,13,57,+51.249,8,0,No,1:30.669
1102,844,6,7,7,57,+52.988,6,0,No,1:31.434
1102,842,214,8,5,57,+55.670,4,0,No,1:31.971
1102,839,214,9,8,57,+58.123,2,0,No,1:31.143
1102,825,210,10,4,57,+62.945,1,0,No,1:31.691
1102,852,213,11,17,57,+64.309,0,0,No,1:31.038
1102,840,117,12,18,57,+64.754,0,0,No,1:30.862
1102,822,51,13,10,57,+71.637,0,0,No,1:31.838
1102,848,3,14,11,57,+72.861,0,0,No,1:31.852
1102,807,210,15,12,57,+74.950,0,0,No,1:30.901
1102,855,51,16,14,57,+78.440,0,0,No,1:31.736
1102,846,1,17,16,57,+87.717,0,0,No,1:32.401
1102,856,213,18,15,57,+88.949,0,0,No,1:31.562
1102,857,1,19,19,56,+1 lap,0,0,No,1:32.006
1102,858,3,20,20,56,+1 lap,0,0,No,1:32.384
