RaceId,DriverId,TeamId,Position,StartingGrid,Laps,Time/Retired,Points,Sprint
1101,815,9,1,2,17,33:17.667,8,1
1101,844,6,2,1,17,+4.463,7,1
1101,830,9,3,3,17,+5.065,6,1
1101,847,131,4,4,17,+8.532,5,1
1101,832,6,5,5,17,+10.388,4,1
1101,4,117,6,8,17,+11.613,3,1
1101,1,131,7,6,17,+16.503,2,1
1101,840,117,8,9,17,+18.417,1,1
1101,848,3,9,7,17,+21.757,0,1
1101,857,1,10,11,17,+22.851,0,1
1101,825,210,11,13,17,+27.990,0,1
1101,855,51,12,14,17,+34.602,0,1
1101,842,214,13,17,17,+36.918,0,1
1101,856,213,14,18,17,+41.626,0,1
1101,807,210,15,12,17,+48.587,0,1
1101,822,51,16,15,17,+49.917,0,1
1101,846,1,17,10,17,+51.104,0,1
1101,839,214,18,19,17,+60.621,0,1
1101,852,213,NC,16,2,DNF,0,1
