TeamId,Name,Nationality,Url
1,McLaren,British,http://en.wikipedia.org/wiki/McLaren
3,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
6,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
9,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
51,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
117,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
131,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
210,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
213,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
214,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
